lang;filename;key;original;translated
en;geraete/mrt.md;main_content;"Die Magnetresonanztomographie (MRT), auch als Kernspintomographie oder MRI bezeichnet, ist ein bildgebendes Verfahren, das ohne den Einsatz von Röntgenstrahlen funktioniert und auf einem starken Magnetfeld sowie Radiowellen basiert. Diese Technologie ermöglicht es, detaillierte Schnittbilder von Organen und Geweben im Körper zu erstellen, wodurch eine präzise Diagnose vieler Erkrankungen möglich ist.

Das Verfahren ist besonders schonend, da es keine ionisierende Strahlung verwendet. Stattdessen erzeugt das Magnetfeld Bilder, die von einem Computer verarbeitet und von Radiologen analysiert werden. Die Magnetresonanztomographie eignet sich für die Untersuchung des gesamten Körpers, einschließlich der Muskulatur, des Skeletts, des Gehirns, der Organe und der Blutgefäße.

Zu den häufig durchgeführten MRI-Untersuchungen gehören:

- **Muskoloskeletale Untersuchungen:** MRTs der Wirbelsäule, Gelenke (wie Hüfte, Knie, Schulter, Handgelenk), Weichteile und Sehnen.
- **Neuroradiologische Untersuchungen:** MRI von Gehirn, Rückenmark, Nervensträngen sowie spezielle Verfahren wie MR-Angiographie und Myelografie.
- **Thorax, Abdomen und Becken:** Untersuchung der Lunge, Leber, Pankreas, Prostata und anderer Organe. Auch MR-Angiographien sind möglich.
- **Kardiale Untersuchungen:** MRT des Herzens, inklusive Perfusions- und Funktionsanalysen.
- **Spezielle Verfahren:** MR-Arthrografien, MRCP für die Darstellung der Gallenwege, MR-Spektroskopie zur Gewebecharakterisierung.

Während der Untersuchung liegen Sie auf einer Liege, die in die MRT-Röhre geschoben wird. Der Durchmesser beträgt meist 60 bis 70 cm, die Länge 150 bis 200 cm. Für Patienten mit Platzangst stehen oft offene Geräte zur Verfügung. Über einen Meldeschalter können Sie jederzeit mit dem Personal kommunizieren.

Die MRT ist eine nicht-invasive, strahlungsfreie Methode, um präzise Diagnosen zu stellen.
";"The Magnetic Resonance Tomography (MRT), also known as Nuclear Magnetic Resonance (NMR) or MRI, is an imaging procedure that functions without the use of X-rays and relies on a strong magnetic field and radio waves. This technology enables the creation of detailed cross-sectional images of organs and tissues in the body, thereby making precise diagnoses possible for many diseases.

The procedure is particularly gentle since it does not use ionizing radiation. Instead, the magnetic field generates images that are processed by a computer and analyzed by radiologists. Magnetic Resonance Tomography is suitable for examining the entire body, including muscle, skeleton, brain, organs, and blood vessels.

Common MRI examinations include:

- **Musculoskeletal examinations:** MRTs of the spine, joints (such as hips, knees, shoulders, and wrist), soft tissues, and tendons.
- **Neuroradiological examinations:** MRI of the brain, spinal cord, nerve strands, and specialized procedures like MR angiography and myelography.
- **Thorax, Abdomen, and Pelvis:** Examination of the lung, liver, pancreas, prostate, and other organs. MR angiograms are also possible.
- **Cardiac examinations:** MRT of the heart, including perfusion and functional analyses.
- **Special procedures:** MR arthrograms, MRCP for gallbladder imaging, MR spectroscopy for tissue characterization.

During the examination, you will lie on a table that is inserted into the MRT tube. The diameter is usually 60 to 70 cm, and the length is 150 to 200 cm. For patients with claustrophobia, open devices are often available. You can communicate with staff at any time using a call button.

The MRI is a non-invasive, radiation-free method for making precise diagnoses."
en;geraete/mrt.md;title;Magnetresonanztomographie (MRT);Magnetic Resonance Tomography (MRI)
en;geraete/roentgen.md;main_content;"Das klassische Röntgen ist eines der ältesten bildgebenden Verfahren und wird vor allem zur schnellen Diagnose von Knochenbrüchen und Lungenerkrankungen eingesetzt. Während der Untersuchung werden Röntgenstrahlen durch den Körper geschickt, die je nach Gewebe unterschiedlich absorbiert werden. Dadurch entstehen kontrastreiche Bilder, auf denen Knochen, Organe und Gewebe sichtbar werden.

Typische Einsatzgebiete:

- **Knochen:** Erkennung von Brüchen und Fehlstellungen.
- **Brustkorb:** Untersuchung der Lunge und des Herzens.
- **Gelenke:** Feststellung von Arthrose oder Entzündungen.
- **Zähne:** Kontrolle von Zahn- und Kieferstrukturen.

Die Untersuchung dauert nur wenige Minuten und ist schmerzfrei. Moderne Geräte minimieren die Strahlenbelastung bestmöglich.
";"The classic X-ray is one of the oldest imaging procedures and is primarily used for rapid diagnosis of bone fractures and lung diseases. During the examination, X-rays are guided through the body, which are absorbed differently depending on the tissue. This results in contrast-rich images, showing bones, organs, and tissue.

Typical applications:

- **Bones:** Detection of fractures and misalignments.
- **Chest:** Examination of the lungs and heart.
- **Joints:** Determination of arthritis or inflammation.
- **Teeth:** Control of tooth and jaw structures.

The examination only takes a few minutes and is pain-free. Modern equipment minimizes radiation exposure as much as possible."
en;geraete/roentgen.md;title;Klassisches Röntgen;Classic X-ray
en;geraete/ct.md;main_content;"Die Computertomographie (CT) ist ein bildgebendes Verfahren, das mithilfe von Röntgenstrahlen detaillierte Querschnittsbilder Ihres Körpers erstellt. Im Gegensatz zum klassischen Röntgen werden bei der CT viele Einzelbilder aus verschiedenen Winkeln aufgenommen, die ein Computer zu einem Gesamtbild zusammensetzt.

Anwendungsgebiete:

- **Thorax:** Erkennung von Lungenkrankheiten, Tumoren, Embolien.
- **Abdomen/Becken:** Diagnose von Leber-, Nieren- und Darmerkrankungen.
- **Kopf:** Feststellung von Schlaganfällen, Blutungen, Schädelverletzungen.
- **Gefäße:** CT-Angiographie zur Gefäßdarstellung.
- **Knochen:** Detaillierte Analyse von Frakturen.

Die Untersuchung ist schnell, effizient und besonders in Notfällen unverzichtbar. Moderne Geräte reduzieren die Strahlenbelastung auf ein Minimum.
";"The computed tomography (CT) is an imaging procedure that creates detailed cross-sectional images of your body using X-ray radiation. Unlike traditional X-ray, CT uses many individual images taken from different angles, which a computer combines into a single image.

Applications:

- **Chest:** Detection of lung diseases, tumors, and embolisms.
- **Abdomen/Pelvis:** Diagnosis of liver, kidney, and bowel diseases.
- **Head:** Determination of strokes, bleeding, and skull injuries.
- **Vessels:** CT angiography for vessel display.
- **Bones:** Detailed analysis of fractures.

The examination is quick, efficient, and especially crucial in emergency situations. Modern devices minimize radiation exposure to a minimum."
en;geraete/ct.md;title;Computertomographie (CT);Computed Tomography (CT)
en;geraete/ultraschall.md;main_content;"Der Ultraschall, auch als Sonographie bekannt, ist ein bildgebendes Verfahren, das zur Diagnose zahlreicher Erkrankungen dient. Anders als die MRT oder CT nutzt Ultraschall keine Röntgenstrahlen, sondern hochfrequente Schallwellen. Diese Methode ist schmerzfrei, sicher und wird vor allem zur Untersuchung von Weichteilen eingesetzt.

Während der Untersuchung wird ein Gel auf die Haut aufgetragen, um die Schallwellenübertragung zu verbessern. Der Schallkopf sendet Wellen aus, die vom Körpergewebe reflektiert werden. Ein Computer wandelt diese Signale in Bilder um, die in Echtzeit betrachtet werden können.

Typische Anwendungen sind:

- **Abdomen:** Untersuchung von Leber, Nieren, Gallenblase, Bauchspeicheldrüse.
- **Becken:** Beurteilung von Blase, Gebärmutter, Eierstöcken, Prostata.
- **Gefäße:** Doppler-Ultraschall zur Analyse von Blutfluss und Gefäßverengungen.
- **Muskuloskelettales System:** Diagnostik an Gelenken, Sehnen, Muskeln.

Ultraschall ist flexibel, schnell einsetzbar und birgt keine Strahlenrisiken – ideal auch für Schwangere und Kinder.
";"The Ultrasound, also known as Sonography, is an imaging procedure that serves to diagnose numerous diseases. Unlike MRI or CT scans, Ultrasound does not use X-rays but rather high-frequency sound waves. This method is pain-free, safe, and primarily used for examining soft tissues.

During the examination, a gel is applied to the skin to improve ultrasound transmission. The transducer sends out waves that are reflected by bodily tissue. A computer converts these signals into images that can be viewed in real-time.

Common applications include:

- **Abdomen:** Examination of liver, kidneys, gallbladder, pancreas.
- **Pelvis:** Evaluation of bladder, uterus, ovaries, prostate.
- **Vessels:** Doppler Ultrasound for analyzing blood flow and vessel narrowing.
- **Musculoskeletal System:** Diagnostic evaluation at joints, tendons, muscles.

Ultrasound is flexible, quickly deployable, and carries no radiation risks – ideal for pregnant women and children as well."
en;geraete/ultraschall.md;title;Ultraschall / Sonographie (US);Ultrasonography / Sonography (US)
en;standorte/04-genf.md;main_content;"In Genf werden die Untersuchungen bei unserem Partner durchgeführt.

**Die Adresse lautet:**

In Genf haben wir mehrere Partner. Die Adresse erhalten Sie mit der Terminbestätigung.
";"The investigations are carried out by our partner in Geneva.

**The address is:**

We have several partners in Geneva. You will receive the address with your appointment confirmation."
en;standorte/04-genf.md;title;Genf;Geneva
en;standorte/03-basel.md;main_content;"In Basel werden die Untersuchungen bei unserem Partner durchgeführt. 

**Die Adresse lautet:**

In Basel haben wir mehrere Partner. Die Adresse erhalten Sie mit der Terminbestätigung.
";"The investigations are carried out by our partner in Basel.

**The address is:**

We have several partners in Basel. You will receive the address with your appointment confirmation."
en;standorte/03-basel.md;title;Basel;English
en;standorte/01-zuerich.md;main_content;"In Zürich werden die Untersuchungen in der Praxis Rimed durchgeführt. 

**Die Adresse lautet:**

Mühlebachstrasse 7
8008 Zürich
";"The Investigations are carried out at the practice Rimed in Zurich.

**The address is:**

Mühlebachstrasse 7
8008 Zurich"
en;standorte/01-zuerich.md;title;Zürich;Zurich
en;standorte/02-bern.md;main_content;"In Bern werden die Untersuchungen bei MRI-Bern durchgeführt. 

**Die Adresse lautet:**

Schwanengasse 5/7

3011 Bern
";"The examinations are performed at MRI-Bern in Bern.

**The address is:**

Schwanengasse 5/7

3011 Bern"
en;standorte/02-bern.md;title;Bern;"English version:

Please"
en;indikationen/01-familiaere-vorbelastung.md;title;Familiäre Vorbelastung;Family History
en;indikationen/01-familiaere-vorbelastung.md;description;Menschen mit einer genetischen Prädisposition zum Beispiel für Krebs oder Aneurysmen möchten sicher gehen, dass bei Ihnen noch alles in Ordnung ist.;People with a genetic predisposition to conditions such as cancer or aneurysms want to make sure that everything is still okay with them.
en;indikationen/05-strahlenangst.md;title;Strahlenbelastung;Radiation Exposure
en;indikationen/05-strahlenangst.md;description;Das MRT liefert oft (aber nicht immer) gleichwertige oder bessere Bilder als Röntgen und Computertomografie (CT), ohne den Körper mit Strahlen zu belasten.;The MRI delivers often (but not always) equivalent or better images than X-ray and computed tomography (CT), without exposing the body to radiation.
en;indikationen/02-sportler-koerperliche-belastung.md;title;Sportler;Athlete
en;indikationen/02-sportler-koerperliche-belastung.md;description;Mikroverletzungen, Gelenkprobleme oder Muskelverletzungen sollen frühzeitig erkannt werden.;Microtrauma, joint problems or muscle injuries should be detected early on.
en;indikationen/03-chronische-beschwerden.md;title;Chronische Beschwerden;Chronic Complaints
en;indikationen/03-chronische-beschwerden.md;description;Erschöpfung, Schmerzen, Schwindel oder Schlafstörungen: Eine umfassende Bildgebung Verdachtsmomente ausschliessen oder die Diagnose erleichtern.;Fatigue, Pain, Dizziness or Sleep Disturbances: A comprehensive imaging examination to rule out suspicious findings or facilitate diagnosis.
en;indikationen/04-stressbelastung.md;title;Menschen mit viel Stress;People with a lot of stress
en;indikationen/04-stressbelastung.md;description;Chronischer Stress ist eine Belastung für den gesamten Körper. Wer den Stress nicht reduzieren kann, möchte sich durch optimale Vorsorge vor gesundheitlichen Folgeschäden schützen.;Chronic stress is a burden for the entire body. Whoever cannot reduce stress wants to protect themselves from potential health consequences by optimal prevention.
en;indikationen/06-umfassend.md;title;Umfassende Vorsorge;Comprehensive Precaution
en;indikationen/06-umfassend.md;description;Wer einfach nur mit einer einzigen Untersuchung eine breit angelegte Vorsorge möchte, trifft mit einem MRT eine gute Wahl, weil es viele verschiedene Risiken abdeckt.;For a single comprehensive preventive measure, an MRI is a good choice because it covers many different risks.
en;home/09-termin-buchen.md;main_content;"Hier kommen Sie ganz einfach zu Ihrem Termin. 

**E-Mail eintragen**, Standort wählen, ab die Post.

{{< spacer >}}   

{{< bookingFormMultilanguage >}}";"Here is the translated text:

Come to your appointment easily. Enter email, select location, after that post.

Placeholder 0

Placeholder 1"
en;home/09-termin-buchen.md;title;Termin buchen;Book Your Appointment
en;home/07-datenschutz.md;main_content;Auf Ihre Daten haben nur Sie und Ihre Betreuer bei SwissVital Zugriff. Wir erhöhen nicht die Prämien oder schränken den Versicherungsschutz ein, wenn wir irgendwo ein Risiko entdecken. Wir zeigen Ihnen, wo Sie stehen und helfen Ihnen, die richtigen Schlüsse daraus zu ziehen. Sie haben die volle Kontrolle.;On your data, only you and your advisors at SwissVital have access. We don't increase premiums or restrict insurance coverage if we discover a risk anywhere. We show you where you stand and help you draw the right conclusions from it. You have full control.
en;home/07-datenschutz.md;pre_headline;Wer liest mit?;Who reads with me?
en;home/07-datenschutz.md;title;Ihre Daten bleiben privat;Your data remains private.
en;home/07-datenschutz.md;primary_button_text;Scan buchen;Book scan
en;home/01-wissen-macht-gesund.md;main_content;"Seit hochauflösende MRT-Untersuchungen des ganzen Körpers möglich sind, ist ein neues Zeitalter der **Früherkennung** angebrochen. Vor allem bei Krebserkrankungen haben MRT-Scans tausende Leben gerettet.

**Und das ist nur der Anfang** 
";"Since the language code is ""en"", I will translate the text into English:

""With high-resolution whole-body MRI scans now possible, a new era of **early detection** has begun. Especially in cancer cases, MRI scans have saved thousands of lives.

And that's just the beginning."""
en;home/01-wissen-macht-gesund.md;pre_headline;Gesundheit schützen mit Ganzköper-MRI;Protect Your Health with Whole-Body MRI
en;home/01-wissen-macht-gesund.md;title;Wissen macht gesund.;Knowledge makes healthy.
en;home/01-wissen-macht-gesund.md;primary_button_text;Scan buchen;Book a Scan
en;home/11-partner.md;main_content;"Wohin geht ein Arzt, wenn er mal zum Arzt muss? 
Die meisten Ärzte doktern erst einmal selbst an sich herum. Aber wenn sie doch Hilfe brauchen, haben sie ein Netzwerk aus guten Leuten, die sie vom Studium kennen oder von der gemeinschaftlichen Betreuung einiger Patient:innen. Zu so einer Person gehen sie, wenn sie mal einen Arzt oder eine Ärztin brauchen. Unsere Partner sind nicht nur approbiert und gut ausgebildet; sie haben ihre Fähigkeiten auch im persönlichen Kontakt mit SwissVital bewiesen. 
";"WHERE does a doctor go when they need to see a doctor? Most doctors examine themselves first. But if they do need help, they have a network of good people who know them from their studies or shared patient care. They turn to someone like that person if they ever need a doctor or a female doctor. Our partners are not only licensed and well-trained; they've also demonstrated their skills in personal contact with SwissVital."
en;home/11-partner.md;pre_headline;Wir haben ein gewachsenes Netzwerk von Partnern, denen wir vertrauen.;We have a well-established network of partners that we trust.
en;home/11-partner.md;title;Unsere Partner;Our Partners
en;home/11-partner.md;primary_button_text;Vorsorge buchen;Book ahead
en;home/03-frageboegen/_index.md;main_content;"Von der Stange gibt es bei uns nicht. Wir stimmen jede Untersuchung auf die Bedürfnisse unserer Klienten ab. Beginnen Sie, indem Sie das Feld auswählen, das Ihren Bedarf am besten trifft.  {{< spacer >}}
";There is no charge for us. We tailor each examination to the needs of our clients. Start by selecting the field that best meets your requirements.
en;home/03-frageboegen/_index.md;pre_headline;Sprechen wir über Ihren Bedarf.;Let's Talk About Your Needs.
en;home/03-frageboegen/_index.md;title;Wie können wir helfen?;How can we help you?
en;home/03-frageboegen/06-individuell.md;title;Individuelle Vorsorge;Personal Preventive Care
en;home/03-frageboegen/06-individuell.md;description;Vorsorgestrategie für genau festgelegte Risiken;Preventive strategy for precisely defined risks.
en;home/03-frageboegen/01-familiaere-vorbelastung.md;title;Familiäre Vorbelastung;Family History
en;home/03-frageboegen/01-familiaere-vorbelastung.md;description;Krankheiten aufgrund vererbter Anlagen vorbeugen;Preventing diseases due to inherited predispositions.
en;home/03-frageboegen/02-sportler-koerperliche-belastung.md;title;Sportler;Athlete
en;home/03-frageboegen/02-sportler-koerperliche-belastung.md;description;Beschwerden durch Überlastung vorbeugen;Preventing complaints due to overload.
en;home/03-frageboegen/05-breite-vorsorge.md;title;Breite Vorsorge;BROAD PREVENTION
en;home/03-frageboegen/05-breite-vorsorge.md;description;Breite Vorsorge für die wichtigtsten Risiken;Broad Protection Against the Most Important Risks
en;home/03-frageboegen/03-chronische-beschwerden.md;title;Chronische Beschwerden;Chronic Complaints
en;home/03-frageboegen/03-chronische-beschwerden.md;description;Erschöpfung, Schmerzen, Schwindel, Schlafstörungen ...;Fatigue, Pain, Dizziness, Sleep Disorders...
en;home/03-frageboegen/04-stressbelastung.md;title;Menschen mit Stress;People with stress
en;home/03-frageboegen/04-stressbelastung.md;description;Risiken aus hoher Stressbelastung vorbeugen;Prevent risks from high stress exposure.
en;home/04-ablauf/_index.md;main_content;"Wir begleiten Sie persönlich durch den gesamten Prozess - von der ersten Beratung bis zur ausführlichen Besprechung Ihrer Ergebnisse. Dabei legen wir Wert auf eine transparente und verständliche Kommunikation. Hier sehen Sie, wie Ihr Check-up bei Swiss Vital abläuft.
{{< spacer >}}";We personally accompany you throughout the entire process - from your initial consultation to a detailed discussion of your results. In this process, we place great value on transparent and understandable communication. Here's how your check-up at Swiss Vital unfolds.
en;home/04-ablauf/_index.md;pre_headline;So läuft Ihr Check-up ab;How Your Check-up Works
en;home/04-ablauf/_index.md;title;Ihr Check-up Schritt für Schritt;Your Health Screening Step by Step
en;home/04-ablauf/_index.md;primary_button_text;Scan buchen;Book a scan
en;home/04-ablauf/schritt-4.md;main_content;Sie erhalten einen kommentierten Befundbericht, der die Resultate Ihrer Untersuchungen verständlich zusammenfasst. Sollten Sie vorab spezielle Anliegen benannt haben, gehen wir auf diese besonders detailliert ein.;You will receive a commented report summarizing the results of your examination. If you have specified special requests beforehand, we will go into these in detail.
en;home/04-ablauf/schritt-4.md;title;Schritt 4: Ihre Ergebnisse;Step 4: Your Results
en;home/04-ablauf/schritt-2.md;main_content;Einer unserer Präventionsärzte schaut sich Ihren Fragebogen an und bespricht mit Ihnen telefonisch die für Sie am besten passende Vorsorgestrategie. Wenn das für Sie passt, müssen Sie nur noch einen Termin festlegen.;One of our preventive medicine specialists reviews your questionnaire and discusses the best suitable preventative strategy with you by phone. If that works for you, all you have to do is schedule an appointment.
en;home/04-ablauf/schritt-2.md;title;Schritt 2: Ihre persönliche Vorsorgestrategie;Step 2: Your Personal Preventive Strategy
en;home/04-ablauf/schritt-1.md;main_content;Zur Vorbereitung haben wir Fragebögen erstellt, die auf unterschiedliche Lebenssituationen abgestimmt sind. Wählen Sie den für Sie passenden Fragebogen aus und senden Sie ihn uns zu. Anschliessend melden wir uns bei Ihnen für die Vereinbarung eines Beratungstermins.;We have prepared questionnaires tailored to different life situations. Choose the one that suits you best and send it to us. We will then contact you to schedule a consultation appointment.
en;home/04-ablauf/schritt-1.md;title;Schritt 1: Lassen Sie sich von uns zur Vorsorge beraten;Step 1: Let us advise you on preventative care.
en;home/04-ablauf/schritt-5.md;main_content;In einem persönlichen Gespräch klären wir alle offenen Fragen, die sich aus den Untersuchungsergebnissen ergeben haben. Falls nötig, besprechen wir auch mögliche therapeutische Schritte oder Massnahmen, um Ihre Gesundheit zu erhalten oder wiederherzustellen.;In a personal conversation, we clarify all open questions that arise from the test results. If necessary, we also discuss possible therapeutic steps or measures to preserve or restore your health.
en;home/04-ablauf/schritt-5.md;title;Schritt 5: Ihre Nachbesprechung;Step 5: Your Follow-up Meeting
en;home/04-ablauf/schritt-3.md;main_content;Am vereinbarten Termin führen wir die Untersuchungen durch. Falls auch Bluttests vorgesehen sind, empfehlen wir, nüchtern zu erscheinen, um die Ergebnisse nicht zu verfälschen. Was im Detail für Ihre Untersuchung wichtig ist, erklären wir Ihnen in Ruhe vor Ort.;We will conduct the examinations at the agreed-upon time. If blood tests are also scheduled, we recommend arriving fasting to avoid influencing the results. We will explain what is important for your examination in detail when you arrive.
en;home/04-ablauf/schritt-3.md;title;Schritt 3: Ihr Check-up in der Swiss Vital Praxis;Step 3: Your check-up at Swiss Vital Practice
en;home/02-leistungen/ganzkoerper-scan.md;main_content;"Ein Ganzkörperscan erzeugt durch Magnetfelder und Radiowellen hochaflösende Schnittbilder des gesamten Körpers. 

Der Ganzkörper-Scan, insbesondere in Verbindung mit anderen diagnostischen Verfahren, ermöglicht eine umfassende Beurteilung Ihres Gesundheitszustandes und kann frühzeitig auffällige Veränderungen erkennen. Dies ermöglicht eine präventive Behandlung, bevor Symptome auftreten. 

Der Scan ist besonders empfehlenswert für Personen ab 40 Jahren, bei familiärer Vorbelastung oder bei hartnäckigen Beschwerden, deren Ursache unbekannt ist. Unsere Präventionsärzte analysieren alle Befunde und erklären Ihnen das Ergebnis in einem persönlichen Gespräch. 
";"A whole-body MRI scan generates high-resolution sectional images of the entire body using magnetic fields and radio waves.

The full-body scan, particularly when combined with other diagnostic procedures, enables a comprehensive assessment of your health status and can detect noticeable changes at an early stage. This allows for preventive treatment before symptoms appear.

The scan is particularly recommended for individuals over 40 years old, those with a family history or those experiencing persistent complaints without known causes. Our prevention doctors analyze all findings and explain the results in a personal consultation."
en;home/02-leistungen/ganzkoerper-scan.md;title;Ganzkörper-Scan;Whole-Body Scan
en;home/02-leistungen/_index.md;main_content;"Wir verbinden diagnostische Verfahren aus verschiedenen Disziplinen, um für Sie ein umfassendes Gesamtbild zu erzeugen. Gestützt auf die Empehlungen der medizinischen Fachgesellschaften und  abgestimmt auf Ihre Lebenssituation, Ihre Vorgeschichte und Ihren Bedarf.
{{< spacer >}}
";We combine diagnostic procedures from various disciplines to generate a comprehensive overall picture for you. Based on the recommendations of medical professional associations and tailored to your life situation, your medical history, and your needs.
en;home/02-leistungen/_index.md;pre_headline;Vernetzte Diagnostik;Networked Diagnosis
en;home/02-leistungen/_index.md;title;Unser Angebot;Our Offer
en;home/02-leistungen/sportvorsorge.md;main_content;"Die Sportvorsorge ist ein speziell für Sportler und aktive Menschen konzipiertes Untersuchungsprogramm. Es kombiniert bildgebende Verfahren, Labor- und Leistungsdiagnostik, um Ihre sportliche Gesundheit umfassend zu beurteilen und Ihr Leistungspotenzial zu optimieren.

Im Fokus der MRI-Untersuchung stehen besonders die Strukturen, die beim Sport stark beansprucht werden: Gelenke, Muskeln, Sehnen und Bänder sowie das Herz-Kreislauf-System. Dadurch können wir frühzeitig Überlastungserscheinungen oder Verschleissschäden erkennen und gezielte Gegenmassnahmen einleiten, bevor ernsthafte Verletzungen entstehen.

Die ergänzende Laboranalyse gibt Aufschluss über Ihren Stoffwechsel, Nährstoffversorgung und Entzündungsmarker. Wir bestimmen wichtige Parameter wie Hämoglobin, Ferritin (Eisenspeicher), Vitamin D, Magnesium und bei Bedarf spezifische Hormone, die für die sportliche Leistungsfähigkeit relevant sind.

Die Sportvorsorge ist ideal für Hobby- und Leistungssportler jeder Altersklasse, besonders vor dem Start intensiver Trainingsphasen, bei Leistungsplateaus oder nach Verletzungen.

Unsere Präventionsärzte analysieren alle Befunde und erklären Ihnen das Ergebnis in einem persönlichen Gespräch. 


";"THE SPORTS SCREENING IS A SPECIAL PROGRAM DESIGNED FOR ATHLETES AND ACTIVE PEOPLE. IT COMBINES IMAGING PROCEDURES, LABORATORY DIAGNOSTICS, AND FUNCTIONAL TESTS TO THOROUGHLY ASSESS YOUR ATHLETIC HEALTH AND OPTIMIZE YOUR PERFORMANCE POTENTIAL.

THE FOCUS OF THE MRI EXAMINATION IS ON STRUCTURES THAT ARE STRENUOUSLY DEMANDED BY SPORT: JOINTS, MUSCLES, TENDONS, AND LIGAMENTS, AS WELL AS THE CARDIOVASCULAR SYSTEM. THIS ALLOWS US TO IDENTIFY EARLY SIGNS OF OVERLOAD OR DEGENERATION AND INITIATE TARGETED COUNTERMEASURES BEFORE SERIOUS INJURIES OCCUR.

THE ADDITIONAL LABORATORY ANALYSIS PROVIDES INSIGHT INTO YOUR METABOLISM, NUTRIENT SUPPLY, AND MARKERS OF INFLAMMATION. WE DETERMINE IMPORTANT PARAMETERS SUCH AS HEMOGLOBIN, FERRITIN (IRON STORAGE), VITAMIN D, MAGNESIUM, AND SPECIFIC HORMONES THAT ARE RELEVANT FOR ATHLETIC PERFORMANCE.

THE SPORTS SCREENING IS IDEAL FOR AMATEUR AND PROFESSIONAL ATHLETES OF ALL AGES, ESPECIALLY BEFORE THE START OF INTENSE TRAINING PHASES, AT LEISTUNGSPLATEAUS, OR AFTER INJURIES.

OUR PREVENTIVE PHYSICIANS ANALYZE ALL FINDINGS AND EXPLAIN THE RESULTS TO YOU IN A PERSONAL CONVERSATION."
en;home/02-leistungen/sportvorsorge.md;title;Sportvorsorge;Preventive Care
